#,Name,Type_1,Type_2,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary,Total
537,Mow Rotom,Electric,Grass,50,65,107,105,107,86,4,False,520
538,Uxie,Psychic,None,75,75,130,75,130,95,4,True,580
539,Mesprit,Psychic,None,80,105,105,105,105,80,4,True,580
540,Azelf,Psychic,None,75,125,70,125,70,115,4,True,580
541,Dialga,Steel,Dragon,100,120,120,150,100,90,4,True,680
542,Palkia,Water,Dragon,90,120,100,150,120,100,4,True,680
543,Heatran,Fire,Steel,91,90,106,130,106,77,4,True,600
544,Regigigas,Normal,None,110,160,110,80,110,100,4,True,670
545,Giratina Altered Forme,Ghost,Dragon,150,100,120,100,120,90,4,True,680
546,Giratina Origin Forme,Ghost,Dragon,150,120,100,120,100,90,4,True,680
547,Cresselia,Psychic,None,120,70,120,75,130,85,4,False,600
548,Phione,Water,None,80,80,80,80,80,80,4,False,480
549,Manaphy,Water,None,100,100,100,100,100,100,4,False,600
550,Darkrai,Dark,None,70,90,90,135,90,125,4,True,600
551,Shaymin Land Forme,Grass,None,100,100,100,100,100,100,4,True,600
552,Shaymin Sky Forme,Grass,Flying,100,103,75,120,75,127,4,True,600
553,Arceus,Normal,None,120,120,120,120,120,120,4,True,720
554,Victini,Psychic,Fire,100,100,100,100,100,100,5,True,600
555,Snivy,Grass,None,45,45,55,45,55,63,5,False,308
556,Servine,Grass,None,60,60,75,60,75,83,5,False,413
557,Serperior,Grass,None,75,75,95,75,95,113,5,False,528
558,Tepig,Fire,None,65,63,45,45,45,45,5,False,308
559,Pignite,Fire,Fighting,90,93,55,70,55,55,5,False,418
560,Emboar,Fire,Fighting,110,123,65,100,65,65,5,False,528
561,Oshawott,Water,None,55,55,45,63,45,45,5,False,308
562,Dewott,Water,None,75,75,60,83,60,60,5,False,413
563,Samurott,Water,None,95,100,85,108,70,70,5,False,528
564,Patrat,Normal,None,45,55,39,35,39,42,5,False,255
565,Watchog,Normal,None,60,85,69,60,69,77,5,False,420
566,Lillipup,Normal,None,45,60,45,25,45,55,5,False,275
567,Herdier,Normal,None,65,80,65,35,65,60,5,False,370
568,Stoutland,Normal,None,85,110,90,45,90,80,5,False,500
569,Purrloin,Dark,None,41,50,37,50,37,66,5,False,281
570,Liepard,Dark,None,64,88,50,88,50,106,5,False,446
571,Pansage,Grass,None,50,53,48,53,48,64,5,False,316
572,Simisage,Grass,None,75,98,63,98,63,101,5,False,498
573,Pansear,Fire,None,50,53,48,53,48,64,5,False,316
574,Simisear,Fire,None,75,98,63,98,63,101,5,False,498
575,Panpour,Water,None,50,53,48,53,48,64,5,False,316
576,Simipour,Water,None,75,98,63,98,63,101,5,False,498
577,Munna,Psychic,None,76,25,45,67,55,24,5,False,292
578,Musharna,Psychic,None,116,55,85,107,95,29,5,False,487
579,Pidove,Normal,Flying,50,55,50,36,30,43,5,False,264
580,Tranquill,Normal,Flying,62,77,62,50,42,65,5,False,358
581,Unfezant,Normal,Flying,80,115,80,65,55,93,5,False,488
582,Blitzle,Electric,None,45,60,32,50,32,76,5,False,295
583,Zebstrika,Electric,None,75,100,63,80,63,116,5,False,497
584,Roggenrola,Rock,None,55,75,85,25,25,15,5,False,280
585,Boldore,Rock,None,70,105,105,50,40,20,5,False,390
586,Gigalith,Rock,None,85,135,130,60,80,25,5,False,515
587,Woobat,Psychic,Flying,55,45,43,55,43,72,5,False,313
588,Swoobat,Psychic,Flying,67,57,55,77,55,114,5,False,425
589,Drilbur,Ground,None,60,85,40,30,45,68,5,False,328
590,Excadrill,Ground,Steel,110,135,60,50,65,88,5,False,508
591,Audino,Normal,None,103,60,86,60,86,50,5,False,445
592,Mega Audino,Normal,Fairy,103,60,126,80,126,50,5,False,545
593,Timburr,Fighting,None,75,80,55,25,35,35,5,False,305
594,Gurdurr,Fighting,None,85,105,85,40,50,40,5,False,405
595,Conkeldurr,Fighting,None,105,140,95,55,65,45,5,False,505
596,Tympole,Water,None,50,50,40,50,40,64,5,False,294
597,Palpitoad,Water,Ground,75,65,55,65,55,69,5,False,384
598,Seismitoad,Water,Ground,105,95,75,85,75,74,5,False,509
599,Throh,Fighting,None,120,100,85,30,85,45,5,False,465
600,Sawk,Fighting,None,75,125,75,30,75,85,5,False,465
601,Sewaddle,Bug,Grass,45,53,70,40,60,42,5,False,310
602,Swadloon,Bug,Grass,55,63,90,50,80,42,5,False,380
603,Leavanny,Bug,Grass,75,103,80,70,80,92,5,False,500
604,Venipede,Bug,Poison,30,45,59,30,39,57,5,False,260
605,Whirlipede,Bug,Poison,40,55,99,40,79,47,5,False,360
606,Scolipede,Bug,Poison,60,100,89,55,69,112,5,False,485
607,Cottonee,Grass,Fairy,40,27,60,37,50,66,5,False,280
608,Whimsicott,Grass,Fairy,60,67,85,77,75,116,5,False,480
609,Petilil,Grass,None,45,35,50,70,50,30,5,False,280
610,Lilligant,Grass,None,70,60,75,110,75,90,5,False,480
611,Basculin,Water,None,70,92,65,80,55,98,5,False,460
612,Sandile,Ground,Dark,50,72,35,35,35,65,5,False,292
613,Krokorok,Ground,Dark,60,82,45,45,45,74,5,False,351
614,Krookodile,Ground,Dark,95,117,80,65,70,92,5,False,519
615,Darumaka,Fire,None,70,90,45,15,45,50,5,False,315
616,Darmanitan Standard Mode,Fire,None,105,140,55,30,55,95,5,False,480
617,Darmanitan Zen Mode,Fire,Psychic,105,30,105,140,105,55,5,False,540
618,Maractus,Grass,None,75,86,67,106,67,60,5,False,461
619,Dwebble,Bug,Rock,50,65,85,35,35,55,5,False,325
620,Crustle,Bug,Rock,70,95,125,65,75,45,5,False,475
621,Scraggy,Dark,Fighting,50,75,70,35,70,48,5,False,348
622,Scrafty,Dark,Fighting,65,90,115,45,115,58,5,False,488
623,Sigilyph,Psychic,Flying,72,58,80,103,80,97,5,False,490
624,Yamask,Ghost,None,38,30,85,55,65,30,5,False,303
625,Cofagrigus,Ghost,None,58,50,145,95,105,30,5,False,483
626,Tirtouga,Water,Rock,54,78,103,53,45,22,5,False,355
627,Carracosta,Water,Rock,74,108,133,83,65,32,5,False,495
628,Archen,Rock,Flying,55,112,45,74,45,70,5,False,401
629,Archeops,Rock,Flying,75,140,65,112,65,110,5,False,567
630,Trubbish,Poison,None,50,50,62,40,62,65,5,False,329
631,Garbodor,Poison,None,80,95,82,60,82,75,5,False,474
632,Zorua,Dark,None,40,65,40,80,40,65,5,False,330
633,Zoroark,Dark,None,60,105,60,120,60,105,5,False,510
634,Minccino,Normal,None,55,50,40,40,40,75,5,False,300
635,Cinccino,Normal,None,75,95,60,65,60,115,5,False,470
636,Gothita,Psychic,None,45,30,50,55,65,45,5,False,290
637,Gothorita,Psychic,None,60,45,70,75,85,55,5,False,390
638,Gothitelle,Psychic,None,70,55,95,95,110,65,5,False,490
639,Solosis,Psychic,None,45,30,40,105,50,20,5,False,290
640,Duosion,Psychic,None,65,40,50,125,60,30,5,False,370
641,Reuniclus,Psychic,None,110,65,75,125,85,30,5,False,490
642,Ducklett,Water,Flying,62,44,50,44,50,55,5,False,305
643,Swanna,Water,Flying,75,87,63,87,63,98,5,False,473
644,Vanillite,Ice,None,36,50,50,65,60,44,5,False,305
645,Vanillish,Ice,None,51,65,65,80,75,59,5,False,395
646,Vanilluxe,Ice,None,71,95,85,110,95,79,5,False,535
647,Deerling,Normal,Grass,60,60,50,40,50,75,5,False,335
648,Sawsbuck,Normal,Grass,80,100,70,60,70,95,5,False,475
649,Emolga,Electric,Flying,55,75,60,75,60,103,5,False,428
650,Karrablast,Bug,None,50,75,45,40,45,60,5,False,315
651,Escavalier,Bug,Steel,70,135,105,60,105,20,5,False,495
652,Foongus,Grass,Poison,69,55,45,55,55,15,5,False,294
653,Amoonguss,Grass,Poison,114,85,70,85,80,30,5,False,464
654,Frillish,Water,Ghost,55,40,50,65,85,40,5,False,335
655,Jellicent,Water,Ghost,100,60,70,85,105,60,5,False,480
656,Alomomola,Water,None,165,75,80,40,45,65,5,False,470
657,Joltik,Bug,Electric,50,47,50,57,50,65,5,False,319
658,Galvantula,Bug,Electric,70,77,60,97,60,108,5,False,472
659,Ferroseed,Grass,Steel,44,50,91,24,86,10,5,False,305
660,Ferrothorn,Grass,Steel,74,94,131,54,116,20,5,False,489
661,Klink,Steel,None,40,55,70,45,60,30,5,False,300
662,Klang,Steel,None,60,80,95,70,85,50,5,False,440
663,Klinklang,Steel,None,60,100,115,70,85,90,5,False,520
664,Tynamo,Electric,None,35,55,40,45,40,60,5,False,275
665,Eelektrik,Electric,None,65,85,70,75,70,40,5,False,405
666,Eelektross,Electric,None,85,115,80,105,80,50,5,False,515
667,Elgyem,Psychic,None,55,55,55,85,55,30,5,False,335
668,Beheeyem,Psychic,None,75,75,75,125,95,40,5,False,485
669,Litwick,Ghost,Fire,50,30,55,65,55,20,5,False,275
670,Lampent,Ghost,Fire,60,40,60,95,60,55,5,False,370
671,Chandelure,Ghost,Fire,60,55,90,145,90,80,5,False,520
672,Axew,Dragon,None,46,87,60,30,40,57,5,False,320
673,Fraxure,Dragon,None,66,117,70,40,50,67,5,False,410
674,Haxorus,Dragon,None,76,147,90,60,70,97,5,False,540
675,Cubchoo,Ice,None,55,70,40,60,40,40,5,False,305
676,Beartic,Ice,None,95,110,80,70,80,50,5,False,485
677,Cryogonal,Ice,None,70,50,30,95,135,105,5,False,485
678,Shelmet,Bug,None,50,40,85,40,65,25,5,False,305
679,Accelgor,Bug,None,80,70,40,100,60,145,5,False,495
680,Stunfisk,Ground,Electric,109,66,84,81,99,32,5,False,471
681,Mienfoo,Fighting,None,45,85,50,55,50,65,5,False,350
682,Mienshao,Fighting,None,65,125,60,95,60,105,5,False,510
683,Druddigon,Dragon,None,77,120,90,60,90,48,5,False,485
684,Golett,Ground,Ghost,59,74,50,35,50,35,5,False,303
685,Golurk,Ground,Ghost,89,124,80,55,80,55,5,False,483
686,Pawniard,Dark,Steel,45,85,70,40,40,60,5,False,340
687,Bisharp,Dark,Steel,65,125,100,60,70,70,5,False,490
688,Bouffalant,Normal,None,95,110,95,40,95,55,5,False,490
689,Rufflet,Normal,Flying,70,83,50,37,50,60,5,False,350
690,Braviary,Normal,Flying,100,123,75,57,75,80,5,False,510
691,Vullaby,Dark,Flying,70,55,75,45,65,60,5,False,370
692,Mandibuzz,Dark,Flying,110,65,105,55,95,80,5,False,510
693,Heatmor,Fire,None,85,97,66,105,66,65,5,False,484
694,Durant,Bug,Steel,58,109,112,48,48,109,5,False,484
695,Deino,Dark,Dragon,52,65,50,45,50,38,5,False,300
696,Zweilous,Dark,Dragon,72,85,70,65,70,58,5,False,420
697,Hydreigon,Dark,Dragon,92,105,90,125,90,98,5,False,600
698,Larvesta,Bug,Fire,55,85,55,50,55,60,5,False,360
699,Volcarona,Bug,Fire,85,60,65,135,105,100,5,False,550
700,Cobalion,Steel,Fighting,91,90,129,90,72,108,5,True,580
701,Terrakion,Rock,Fighting,91,129,90,72,90,108,5,True,580
702,Virizion,Grass,Fighting,91,90,72,90,129,108,5,True,580
703,Tornadus Incarnate Forme,Flying,None,79,115,70,125,80,111,5,True,580
704,Tornadus Therian Forme,Flying,None,79,100,80,110,90,121,5,True,580
705,Thundurus Incarnate Forme,Electric,Flying,79,115,70,125,80,111,5,True,580
706,Thundurus Therian Forme,Electric,Flying,79,105,70,145,80,101,5,True,580
707,Reshiram,Dragon,Fire,100,120,100,150,120,90,5,True,680
708,Zekrom,Dragon,Electric,100,150,120,120,100,90,5,True,680
709,Landorus Incarnate Forme,Ground,Flying,89,125,90,115,80,101,5,True,600
710,Landorus Therian Forme,Ground,Flying,89,145,90,105,80,91,5,True,600
711,Kyurem,Dragon,Ice,125,130,90,130,90,95,5,True,660
712,Kyurem Black Kyurem,Dragon,Ice,125,170,100,120,90,95,5,True,700
713,Kyurem White Kyurem,Dragon,Ice,125,120,90,170,100,95,5,True,700
714,Keldeo Ordinary Forme,Water,Fighting,91,72,90,129,90,108,5,False,580
715,Keldeo Resolute Forme,Water,Fighting,91,72,90,129,90,108,5,False,580
716,Meloetta Aria Forme,Normal,Psychic,100,77,77,128,128,90,5,False,600
717,Meloetta Pirouette Forme,Normal,Fighting,100,128,90,77,77,128,5,False,600
718,Genesect,Bug,Steel,71,120,95,120,95,99,5,False,600
719,Chespin,Grass,None,56,61,65,48,45,38,6,False,313
720,Quilladin,Grass,None,61,78,95,56,58,57,6,False,405
721,Chesnaught,Grass,Fighting,88,107,122,74,75,64,6,False,530
722,Fennekin,Fire,None,40,45,40,62,60,60,6,False,307
723,Braixen,Fire,None,59,59,58,90,70,73,6,False,409
724,Delphox,Fire,Psychic,75,69,72,114,100,104,6,False,534
725,Froakie,Water,None,41,56,40,62,44,71,6,False,314
726,Frogadier,Water,None,54,63,52,83,56,97,6,False,405
727,Greninja,Water,Dark,72,95,67,103,71,122,6,False,530
728,Bunnelby,Normal,None,38,36,38,32,36,57,6,False,237
729,Diggersby,Normal,Ground,85,56,77,50,77,78,6,False,423
730,Fletchling,Normal,Flying,45,50,43,40,38,62,6,False,278
731,Fletchinder,Fire,Flying,62,73,55,56,52,84,6,False,382
732,Talonflame,Fire,Flying,78,81,71,74,69,126,6,False,499
733,Scatterbug,Bug,None,38,35,40,27,25,35,6,False,200
734,Spewpa,Bug,None,45,22,60,27,30,29,6,False,213
735,Vivillon,Bug,Flying,80,52,50,90,50,89,6,False,411
736,Litleo,Fire,Normal,62,50,58,73,54,72,6,False,369
737,Pyroar,Fire,Normal,86,68,72,109,66,106,6,False,507
738,Flabébé,Fairy,None,44,38,39,61,79,42,6,False,303
739,Floette,Fairy,None,54,45,47,75,98,52,6,False,371
740,Florges,Fairy,None,78,65,68,112,154,75,6,False,552
741,Skiddo,Grass,None,66,65,48,62,57,52,6,False,350
742,Gogoat,Grass,None,123,100,62,97,81,68,6,False,531
743,Pancham,Fighting,None,67,82,62,46,48,43,6,False,348
744,Pangoro,Fighting,Dark,95,124,78,69,71,58,6,False,495
745,Furfrou,Normal,None,75,80,60,65,90,102,6,False,472
746,Espurr,Psychic,None,62,48,54,63,60,68,6,False,355
747,Meowstic Male,Psychic,None,74,48,76,83,81,104,6,False,466
748,Meowstic Female,Psychic,None,74,48,76,83,81,104,6,False,466
749,Honedge,Steel,Ghost,45,80,100,35,37,28,6,False,325
750,Doublade,Steel,Ghost,59,110,150,45,49,35,6,False,448
751,Aegislash Blade Forme,Steel,Ghost,60,150,50,150,50,60,6,False,520
752,Aegislash Shield Forme,Steel,Ghost,60,50,150,50,150,60,6,False,520
753,Spritzee,Fairy,None,78,52,60,63,65,23,6,False,341
754,Aromatisse,Fairy,None,101,72,72,99,89,29,6,False,462
755,Swirlix,Fairy,None,62,48,66,59,57,49,6,False,341
756,Slurpuff,Fairy,None,82,80,86,85,75,72,6,False,480
757,Inkay,Dark,Psychic,53,54,53,37,46,45,6,False,288
758,Malamar,Dark,Psychic,86,92,88,68,75,73,6,False,482
759,Binacle,Rock,Water,42,52,67,39,56,50,6,False,306
760,Barbaracle,Rock,Water,72,105,115,54,86,68,6,False,500
761,Skrelp,Poison,Water,50,60,60,60,60,30,6,False,320
762,Dragalge,Poison,Dragon,65,75,90,97,123,44,6,False,494
763,Clauncher,Water,None,50,53,62,58,63,44,6,False,330
764,Clawitzer,Water,None,71,73,88,120,89,59,6,False,500
765,Helioptile,Electric,Normal,44,38,33,61,43,70,6,False,289
766,Heliolisk,Electric,Normal,62,55,52,109,94,109,6,False,481
767,Tyrunt,Rock,Dragon,58,89,77,45,45,48,6,False,362
768,Tyrantrum,Rock,Dragon,82,121,119,69,59,71,6,False,521
769,Amaura,Rock,Ice,77,59,50,67,63,46,6,False,362
770,Aurorus,Rock,Ice,123,77,72,99,92,58,6,False,521
771,Sylveon,Fairy,None,95,65,65,110,130,60,6,False,525
772,Hawlucha,Fighting,Flying,78,92,75,74,63,118,6,False,500
773,Dedenne,Electric,Fairy,67,58,57,81,67,101,6,False,431
774,Carbink,Rock,Fairy,50,50,150,50,150,50,6,False,500
775,Goomy,Dragon,None,45,50,35,55,75,40,6,False,300
776,Sliggoo,Dragon,None,68,75,53,83,113,60,6,False,452
777,Goodra,Dragon,None,90,100,70,110,150,80,6,False,600
778,Klefki,Steel,Fairy,57,80,91,80,87,75,6,False,470
779,Phantump,Ghost,Grass,43,70,48,50,60,38,6,False,309
780,Trevenant,Ghost,Grass,85,110,76,65,82,56,6,False,474
781,Pumpkaboo Average Size,Ghost,Grass,49,66,70,44,55,51,6,False,335
782,Pumpkaboo Small Size,Ghost,Grass,44,66,70,44,55,56,6,False,335
783,Pumpkaboo Large Size,Ghost,Grass,54,66,70,44,55,46,6,False,335
784,Pumpkaboo Super Size,Ghost,Grass,59,66,70,44,55,41,6,False,335
785,Gourgeist Average Size,Ghost,Grass,65,90,122,58,75,84,6,False,494
786,Gourgeist Small Size,Ghost,Grass,55,85,122,58,75,99,6,False,494
787,Gourgeist Large Size,Ghost,Grass,75,95,122,58,75,69,6,False,494
788,Gourgeist Super Size,Ghost,Grass,85,100,122,58,75,54,6,False,494
789,Bergmite,Ice,None,55,69,85,32,35,28,6,False,304
790,Avalugg,Ice,None,95,117,184,44,46,28,6,False,514
791,Noibat,Flying,Dragon,40,30,35,45,40,55,6,False,245
792,Noivern,Flying,Dragon,85,70,80,97,80,123,6,False,535
793,Xerneas,Fairy,None,126,131,95,131,98,99,6,True,680
794,Yveltal,Dark,Flying,126,131,95,131,98,99,6,True,680
795,Zygarde Half Forme,Dragon,Ground,108,100,121,81,95,95,6,True,600
796,Diancie,Rock,Fairy,50,100,150,100,150,50,6,True,600
797,Mega Diancie,Rock,Fairy,50,160,110,160,110,110,6,True,700
798,Hoopa Confined,Psychic,Ghost,80,110,60,150,130,70,6,True,600
799,Hoopa Unbound,Psychic,Dark,80,160,60,170,130,80,6,True,680
800,Volcanion,Fire,Water,80,110,120,130,90,70,6,True,600
